song,artist,first_no1_date,year,decade,weeks_at_number_one,length_sec,length_mmss,intro_length_sec,under_3_min
Poor Little Fool,Ricky Nelson,1958-08-04,1958,1950,2,154,2:34,12,1
Nel Blu Dipinto Di Blu,Domenico Modugno,1958-08-18,1958,1950,5,219,3:39,40,0
Little Star,The Elegants,1958-08-25,1958,1950,1,163,2:43,10,1
It's All in the Game,Tommy Edwards,1958-09-29,1958,1950,6,156,2:36,3,1
It's Only Make Believe,Conway Twitty,1958-11-10,1958,1950,2,134,2:14,24,1
Tom Dooley,The Kingston Trio,1958-11-17,1958,1950,1,185,3:05,31,0
To Know Him is to Love Him,The Teddy Bears,1958-12-01,1958,1950,3,142,2:22,8,1
The Chipmunk Song,The Chipmunks,1958-12-22,1958,1950,4,141,2:21,19,1
Smoke Gets in Your Eyes,The Platters,1959-01-19,1959,1950,3,158,2:38,8,1
Stagger Lee,Lloyd Price,1959-02-02,1959,1950,4,145,2:25,13,1
Venus,Frankie Avalon,1959-03-09,1959,1950,5,142,2:22,16,1
Come Softly to Me,The Fleetwoods,1959-04-13,1959,1950,4,145,2:25,15,1
The Happy Organ,"Dave ""Baby"" Cortez",1959-05-11,1959,1950,1,122,2:02,5,1
Kansas City,Wilbert Harrison,1959-05-18,1959,1950,2,145,2:25,7,1
The Battle of New Orleans,Johnny Horton,1959-06-01,1959,1950,6,151,2:31,8,1
Lonely Boy,Paul Anka,1959-07-13,1959,1950,4,151,2:31,6,1
Big Hunk o' Love,Elvis Presley,1959-08-10,1959,1950,2,141,2:21,4,1
The Three Bells (Les Trois Cloches),The Browns,1959-08-24,1959,1950,4,174,2:54,19,1
Sleep Walk,Santo & Johnny,1959-09-21,1959,1950,2,151,2:31,16,1
Mack the Knife,Bobby Darin,1959-10-05,1959,1950,9,184,3:04,6,0
Mr. Blue,The Fleetwoods,1959-11-16,1959,1950,1,145,2:25,34,1
Heartaches by the Number,Guy Mitchell,1959-12-14,1959,1950,2,155,2:35,13,1
Why,Frankie Avalon,1959-12-28,1959,1950,1,158,2:38,9,1
El Paso,Marty Robbins,1960-01-04,1960,1960,2,259,4:19,8,0
Running Bear,Johnny Preston,1960-01-18,1960,1960,3,158,2:38,4,1
Teen Angel,Mark Dinning,1960-02-08,1960,1960,2,157,2:37,10,1
Theme from A Summer Place,Percy Faith & His Orchestra,1960-02-22,1960,1960,9,144,2:24,6,1
Stuck on You,Elvis Presley,1960-04-25,1960,1960,4,140,2:20,7,1
Cathy's Clown,The Everly Brothers,1960-05-23,1960,1960,5,144,2:24,7,1
Everybody's Somebody's Fool,Connie Francis,1960-06-27,1960,1960,2,160,2:40,11,1
Alley Oop,The Hollywood Argyles,1960-07-11,1960,1960,1,165,2:45,7,1
I'm Sorry,Brenda Lee,1960-07-18,1960,1960,3,144,2:24,14,1
Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,Brian Hyland,1960-08-08,1960,1960,1,144,2:24,4,1
It's Now or Never,Elvis Presley,1960-08-15,1960,1960,5,196,3:16,10,0
The Twist,Chubby Checker,1960-09-19,1960,1960,3,154,2:34,5,1
My Heart Has A Mind Of Its Own,Connie Francis,1960-09-26,1960,1960,2,152,2:32,8,1
Mr. Custer,Larry Verne,1960-10-10,1960,1960,1,185,3:05,26,0
Save the Last Dance for Me,The Drifters,1960-10-17,1960,1960,3,155,2:35,3,1
I Want to Be Wanted (Per Tutta La Vita),Brenda Lee,1960-10-24,1960,1960,1,185,3:05,12,0
Georgia on My Mind,Ray Charles,1960-11-14,1960,1960,1,215,3:35,16,0
Stay,Maurice Williams & the Zodiacs,1960-11-21,1960,1960,1,96,1:36,0,1
Are You Lonesome Tonight?,Elvis Presley,1960-11-28,1960,1960,6,187,3:07,8,0
Wonderland by Night,Bert Kaempfert,1961-01-09,1961,1960,3,194,3:14,13,0
Will You Love Me Tomorrow,The Shirelles,1961-01-30,1961,1960,2,162,2:42,7,1
Calcutta,Lawrence Welk,1961-02-13,1961,1960,2,136,2:16,5,1
Pony Time,Chubby Checker,1961-02-27,1961,1960,3,147,2:27,4,1
Surrender,Elvis Presley,1961-03-20,1961,1960,2,112,1:52,9,1
Blue Moon,The Marcels,1961-04-03,1961,1960,3,135,2:15,19,1
Runaway,Del Shannon,1961-04-24,1961,1960,4,137,2:17,6,1
Mother-in-Law,Ernie K-Doe,1961-05-22,1961,1960,1,154,2:34,8,1
Travelin' Man,Ricky Nelson,1961-05-29,1961,1960,2,143,2:23,8,1
Running Scared,Roy Orbison,1961-06-05,1961,1960,1,132,2:12,3,1
Moody River,Pat Boone,1961-06-19,1961,1960,1,154,2:34,14,1
Quarter to Three,Gary U.S. Bonds,1961-06-26,1961,1960,2,150,2:30,28,1
Tossin' and Turnin',Bobby Lewis,1961-07-10,1961,1960,7,159,2:39,1,1
Wooden Heart,Joe Dowell,1961-08-28,1961,1960,1,118,1:58,5,1
Michael,The Highwaymen,1961-09-04,1961,1960,2,165,2:45,20,1
Take Good Care of My Baby,Bobby Vee,1961-09-18,1961,1960,3,150,2:30,16,1
Hit the Road Jack,Ray Charles,1961-10-09,1961,1960,2,120,2:00,5,1
Runaround Sue,Dion,1961-10-23,1961,1960,2,161,2:41,46,1
Big Bad John,Jimmy Dean,1961-11-06,1961,1960,5,182,3:02,6,0
Please Mr. Postman,The Marvelettes,1961-12-11,1961,1960,1,148,2:28,25,1
The Lion Sleeps Tonight,The Tokens,1961-12-18,1961,1960,3,162,2:42,32,1
Peppermint Twist,Joey Dee & the Starliters,1962-01-27,1962,1960,3,119,1:59,8,1
Duke of Earl,Gene Chandler,1962-02-17,1962,1960,3,148,2:28,17,1
Hey! Baby,Bruce Channel,1962-03-10,1962,1960,3,142,2:22,14,1
Don't Break the Heart that Loves You,Connie Francis,1962-03-31,1962,1960,1,185,3:05,12,0
Johnny Angel,Shelley Fabares,1962-04-07,1962,1960,2,139,2:19,12,1
Good Luck Charm,Elvis Presley,1962-04-21,1962,1960,2,144,2:24,8,1
Soldier Boy,The Shirelles,1962-05-05,1962,1960,3,162,2:42,17,1
Stranger on the Shore,Mr. Acker Bilk,1962-05-26,1962,1960,1,172,2:52,0,1
I Can't Stop Loving You,Ray Charles,1962-06-02,1962,1960,5,157,2:37,0,1
The Stripper,David Rose & His Orchestra,1962-07-07,1962,1960,1,116,1:56,0,1
Roses are Red (My Love),Bobby Vinton,1962-07-14,1962,1960,4,158,2:38,9,1
Breaking Up is Hard to Do,Neil Sedaka,1962-08-11,1962,1960,2,139,2:19,15,1
The Loco-motion,Little Eva,1962-08-25,1962,1960,1,139,2:19,8,1
Sheila,Tommy Roe,1962-09-08,1962,1960,2,127,2:07,7,1
Sherry,Frankie Valli & the Four Seasons,1962-09-15,1962,1960,5,152,2:32,8,1
Monster Mash,"Bobby ""Boris"" Pickett & the Crypt-Kickers",1962-10-20,1962,1960,2,192,3:12,15,0
He's a Rebel,The Crystals,1962-11-03,1962,1960,2,151,2:31,8,1
Big Girls Don't Cry,Frankie Valli & the Four Seasons,1962-11-17,1962,1960,5,146,2:26,11,1
Telstar,The Tornados,1962-12-22,1962,1960,3,195,3:15,21,0
Go Away Little Girl,Steve Lawrence,1963-01-12,1963,1960,2,132,2:12,8,1
Walk Right In,The Rooftop Singers,1963-01-26,1963,1960,2,137,2:17,31,1
Hey Paula,Paul & Paula,1963-02-09,1963,1960,3,132,2:12,0,1
Walk Like a Man,Frankie Valli & the Four Seasons,1963-03-02,1963,1960,3,117,1:57,28,1
Our Day Will Come,Ruby & the Romantics,1963-03-23,1963,1960,1,154,2:34,12,1
He's So Fine,The Chiffons,1963-03-30,1963,1960,4,113,1:53,5,1
I Will Follow Him,Little Peggy March,1963-04-27,1963,1960,3,148,2:28,15,1
If You Wanna Be Happy,Jimmy Soul,1963-05-18,1963,1960,2,134,2:14,5,1
It's My Party,Lesley Gore,1963-06-01,1963,1960,2,140,2:20,1,1
Sukiyaki,Kyu Sakamoto,1963-06-15,1963,1960,3,182,3:02,7,0
Easier Said Than Done,The Essex,1963-07-06,1963,1960,2,129,2:09,3,1
Surf City,Jan & Dean,1963-07-20,1963,1960,2,147,2:27,5,1
So Much in Love,The Tymes,1963-08-03,1963,1960,1,140,2:20,6,1
Fingertips Pt. 2,Stevie Wonder,1963-08-10,1963,1960,3,190,3:10,13,0
My Boyfriend's Back,The Angels,1963-08-31,1963,1960,3,134,2:14,12,1
Blue Velvet,Bobby Vinton,1963-09-21,1963,1960,3,168,2:48,10,1
Sugar Shack,Jimmy Gilmer & the Fireballs,1963-10-12,1963,1960,5,123,2:03,8,1
Deep Purple,Nino Tempo & April Stevens,1963-11-16,1963,1960,1,160,2:40,13,1
I'm Leaving it Up to You,Dale & Grace,1963-11-23,1963,1960,2,131,2:11,1,1
Dominique,The Singing Nun,1963-12-07,1963,1960,4,176,2:56,2,1
There! I've Said It Again,Bobby Vinton,1964-01-04,1964,1960,4,145,2:25,3,1
I Want To Hold Your Hand,The Beatles,1964-02-01,1964,1960,7,145,2:25,7,1
She Loves You,The Beatles,1964-03-21,1964,1960,2,140,2:20,0,1
Can't Buy Me Love,The Beatles,1964-04-04,1964,1960,4,131,2:11,0,1
"Hello, Dolly!",Louis Armstrong,1964-05-09,1964,1960,1,147,2:27,12,1
My Guy,Mary Wells,1964-05-16,1964,1960,2,174,2:54,7,1
Love Me Do,The Beatles,1964-05-30,1964,1960,1,141,2:21,13,1
Chapel of Love,The Dixie Cups,1964-06-06,1964,1960,3,170,2:50,14,1
A World Without Love,Peter & Gordon,1964-06-27,1964,1960,1,160,2:40,4,1
I Get Around,The Beach Boys,1964-07-04,1964,1960,2,134,2:14,1,1
Rag Doll,Frankie Valli & the Four Seasons,1964-07-18,1964,1960,2,174,2:54,37,1
A Hard Day's Night,The Beatles,1964-08-01,1964,1960,2,154,2:34,3,1
Everybody Loves Somebody,Dean Martin,1964-08-15,1964,1960,1,165,2:45,6,1
Where Did Our Love Go,The Supremes,1964-08-22,1964,1960,2,153,2:33,4,1
House of the Rising Sun,The Animals,1964-09-05,1964,1960,3,179,2:59,12,1
"Oh, Pretty Woman",Roy Orbison,1964-09-26,1964,1960,3,178,2:58,14,1
Do Wah Diddy Diddy,Manfred Mann,1964-10-17,1964,1960,2,143,2:23,4,1
Baby Love,The Supremes,1964-10-31,1964,1960,4,158,2:38,9,1
Leader of the Pack,The Shangri-Las,1964-11-28,1964,1960,1,171,2:51,16,1
Ringo,Lorne Greene,1964-12-05,1964,1960,1,214,3:34,22,0
Mr. Lonely,Bobby Vinton,1964-12-12,1964,1960,1,161,2:41,17,1
Come See About Me,The Supremes,1964-12-19,1964,1960,1,163,2:43,10,1
I Feel Fine,The Beatles,1964-12-26,1964,1960,3,139,2:19,15,1
Downtown,Petula Clark,1965-01-23,1965,1960,2,183,3:03,8,0
You've Lost That Lovin' Feelin',The Righteous Brothers,1965-02-06,1965,1960,2,225,3:45,0,0
This Diamond Ring,Gary Lewis & the Playboys,1965-02-20,1965,1960,2,137,2:17,7,1
My Girl,The Temptations,1965-03-06,1965,1960,1,165,2:45,9,1
Eight Days a Week,The Beatles,1965-03-13,1965,1960,2,163,2:43,7,1
Stop! In the Name of Love,The Supremes,1965-03-27,1965,1960,2,172,2:52,19,1
I'm Telling You Now,Freddie & the Dreamers,1965-04-10,1965,1960,2,128,2:08,6,1
The Game of Love,Wayne Fontana & the Mindbenders,1965-04-24,1965,1960,1,127,2:07,20,1
"Mrs. Brown, You've Got a Lovely Daughter",Herman's Hermits,1965-05-01,1965,1960,3,167,2:47,6,1
Ticket to Ride,The Beatles,1965-05-22,1965,1960,1,189,3:09,7,0
"Help Me, Rhonda",The Beach Boys,1965-05-29,1965,1960,2,167,2:47,0,1
Back in My Arms Again,The Supremes,1965-06-12,1965,1960,1,174,2:54,15,1
I Can't Help Myself (Sugar Pie Honey Bunch),Four Tops,1965-06-19,1965,1960,2,163,2:43,10,1
Mr. Tambourine Man,The Byrds,1965-06-26,1965,1960,1,149,2:29,8,1
(I Can't Get No) Satisfaction,The Rolling Stones,1965-07-10,1965,1960,4,222,3:42,14,0
"I'm Henry VIII, I Am",Herman's Hermits,1965-08-07,1965,1960,1,110,1:50,6,1
I Got You Babe,Sonny & Cher,1965-08-14,1965,1960,3,193,3:13,7,0
Help!,The Beatles,1965-09-04,1965,1960,3,140,2:20,11,1
Eve of Destruction,Barry McGuire,1965-09-25,1965,1960,1,217,3:37,13,0
Hang On Sloopy,The McCoys,1965-10-02,1965,1960,1,182,3:02,8,0
Yesterday,The Beatles,1965-10-09,1965,1960,4,123,2:03,6,1
Get Off Of My Cloud,The Rolling Stones,1965-11-06,1965,1960,2,175,2:55,11,1
I Hear a Symphony,The Supremes,1965-11-20,1965,1960,2,166,2:46,8,1
Turn! Turn! Turn! (To Everything There is a Season),The Byrds,1965-12-04,1965,1960,3,229,3:49,14,0
Over and Over,The Dave Clark Five,1965-12-25,1965,1960,1,121,2:01,7,1
The Sound of Silence,Simon & Garfunkel,1966-01-01,1966,1960,2,185,3:05,3,0
We Can Work it Out,The Beatles,1966-01-08,1966,1960,3,136,2:16,0,1
My Love,Petula Clark,1966-02-05,1966,1960,2,164,2:44,6,1
Lightnin' Strikes,Lou Christie,1966-02-19,1966,1960,1,181,3:01,8,0
These Boots are Made for Walkin',Nancy Sinatra,1966-02-26,1966,1960,1,162,2:42,12,1
The Ballad of the Green Berets,SSgt. Barry Sadler,1966-03-05,1966,1960,5,166,2:46,6,1
(You're My) Soul and Inspiration,The Righteous Brothers,1966-04-09,1966,1960,3,180,3:00,0,0
Good Lovin',The Young Rascals,1966-04-30,1966,1960,1,168,2:48,2,1
"Monday, Monday",The Mamas & the Papas,1966-05-07,1966,1960,3,208,3:28,12,0
When a Man Loves a Woman,Percy Sledge,1966-05-28,1966,1960,2,174,2:54,14,1
"Paint it, Black",The Rolling Stones,1966-06-11,1966,1960,2,199,3:19,15,0
Paperback Writer,The Beatles,1966-06-25,1966,1960,2,146,2:26,12,1
Strangers in the Night,Frank Sinatra,1966-07-02,1966,1960,1,155,2:35,11,1
Hanky Panky,Tommy James & the Shondells,1966-07-16,1966,1960,2,172,2:52,0,1
Wild Thing,The Troggs,1966-07-30,1966,1960,2,159,2:39,7,1
Summer in the City,The Lovin' Spoonful,1966-08-13,1966,1960,3,161,2:41,7,1
Sunshine Superman,Donovan,1966-09-03,1966,1960,1,195,3:15,14,0
You Can't Hurry Love,The Supremes,1966-09-10,1966,1960,2,167,2:47,7,1
Cherish,The Association,1966-09-24,1966,1960,3,193,3:13,9,0
Reach Out I'll Be There,Four Tops,1966-10-15,1966,1960,2,180,3:00,16,0
96 Tears,? & the Mysterians,1966-10-29,1966,1960,1,186,3:06,9,0
Last Train to Clarksville,The Monkees,1966-11-05,1966,1960,1,166,2:46,9,1
Poor Side of Town,Johnny Rivers,1966-11-12,1966,1960,1,183,3:03,20,0
You Keep Me Hangin' On,The Supremes,1966-11-19,1966,1960,2,167,2:47,8,1
Winchester Cathedral,The New Vaudeville Band,1966-12-03,1966,1960,3,140,2:20,64,1
Good Vibrations,The Beach Boys,1966-12-10,1966,1960,1,219,3:39,0,0
I'm a Believer,The Monkees,1966-12-31,1966,1960,7,167,2:47,5,1
Kind of a Drag,The Buckinghams,1967-02-18,1967,1960,2,125,2:05,6,1
Ruby Tuesday,The Rolling Stones,1967-03-04,1967,1960,1,192,3:12,0,0
Love is Here and Now You're Gone,The Supremes,1967-03-11,1967,1960,1,167,2:47,6,1
Penny Lane,The Beatles,1967-03-18,1967,1960,1,183,3:03,0,0
Happy Together,The Turtles,1967-03-25,1967,1960,3,170,2:50,8,1
Somethin' Stupid,Frank Sinatra & Nancy Sinatra,1967-04-15,1967,1960,4,162,2:42,9,1
The Happening,The Supremes,1967-05-13,1967,1960,1,169,2:49,10,1
Groovin',The Young Rascals,1967-05-20,1967,1960,4,150,2:30,9,1
Respect,Aretha Franklin,1967-06-03,1967,1960,2,149,2:29,8,1
Windy,The Association,1967-07-01,1967,1960,4,173,2:53,15,1
Light My Fire,The Doors,1967-07-29,1967,1960,3,174,2:54,10,1
All You Need is Love,The Beatles,1967-08-19,1967,1960,1,237,3:57,26,0
Ode to Billie Joe,Bobbie Gentry,1967-08-26,1967,1960,4,255,4:15,8,0
The Letter,Box Tops,1967-09-23,1967,1960,4,112,1:52,3,1
To Sir With Love,Lulu,1967-10-21,1967,1960,5,166,2:46,10,1
Incense and Peppermints,Strawberry Alarm Clock,1967-11-25,1967,1960,1,167,2:47,18,1
Daydream Believer,The Monkees,1967-12-02,1967,1960,4,172,2:52,7,1
"Hello, Goodbye",The Beatles,1967-12-30,1967,1960,3,207,3:27,0,0
Judy in Disguise (With Glasses),John Fred & His Playboy Band,1968-01-20,1968,1960,2,175,2:55,23,1
Green Tambourine,The Lemon Pipers,1968-02-03,1968,1960,2,147,2:27,20,1
Love is Blue,Paul Mauriat,1968-02-10,1968,1960,5,151,2:31,14,1
(Sittin' On) The Dock of the Bay,Otis Redding,1968-03-16,1968,1960,4,164,2:44,9,1
Honey,Bobby Goldsboro,1968-04-13,1968,1960,5,239,3:59,10,0
Tighten Up,Archie Bell & the Drells,1968-05-18,1968,1960,2,195,3:15,37,0
Mrs. Robinson,Simon & Garfunkel,1968-06-01,1968,1960,3,244,4:04,33,0
This Guy's in Love with You,Herb Alpert,1968-06-22,1968,1960,4,235,3:55,12,0
Grazing in the Grass,Hugh Masekela,1968-07-20,1968,1960,2,175,2:55,2,1
"Hello, I Love You",The Doors,1968-08-03,1968,1960,2,133,2:13,10,1
People Got to Be Free,The Rascals,1968-08-17,1968,1960,5,182,3:02,0,0
Harper Valley PTA,Jeannie C. Riley,1968-09-21,1968,1960,1,195,3:15,9,0
Hey Jude,The Beatles,1968-09-28,1968,1960,9,426,7:06,0,0
Love Child,Diana Ross & The Supremes,1968-11-30,1968,1960,2,183,3:03,19,0
I Heard it Through the Grapevine,Marvin Gaye,1968-12-14,1968,1960,7,196,3:16,21,0
Crimson and Clover,Tommy James & the Shondells,1969-02-01,1969,1960,2,203,3:23,0,0
Everyday People,Sly & the Family Stone,1969-02-15,1969,1960,4,142,2:22,8,1
Dizzy,Tommy Roe,1969-03-15,1969,1960,4,172,2:52,14,1
Aquarius/Let the Sunshine In (The Flesh Failures),The 5th Dimension,1969-04-12,1969,1960,6,289,4:49,17,0
Get Back,The Beatles,1969-05-24,1969,1960,5,194,3:14,8,0
Love Theme from Romeo and Juliet,Henri Mancini & His Orchestra,1969-06-28,1969,1960,2,149,2:29,14,1
In the Year 2525 (Exordium & Terminus),Zager & Evans,1969-07-12,1969,1960,6,190,3:10,24,0
Honky Tonk Women,The Rolling Stones,1969-08-23,1969,1960,4,183,3:03,16,0
"Sugar, Sugar",The Archies,1969-09-20,1969,1960,4,168,2:48,8,1
I Can't Get Next to You,The Temptations,1969-10-18,1969,1960,2,175,2:55,23,1
Suspicious Minds,Elvis Presley,1969-11-01,1969,1960,1,261,4:21,5,0
Wedding Bell Blues,The 5th Dimension,1969-11-08,1969,1960,3,165,2:45,10,1
Come Together,The Beatles,1969-11-29,1969,1960,1,259,4:19,19,0
Na Na Hey Hey Kiss Him Goodbye,Steam,1969-12-06,1969,1960,2,225,3:45,18,0
Leaving on a Jet Plane,"Peter, Paul & Mary",1969-12-20,1969,1960,1,207,3:27,10,0
Someday We'll Be Together,Diana Ross & The Supremes,1969-12-27,1969,1960,1,194,3:14,26,0
Raindrops Keep Falling on My Head,B.J. Thomas,1970-01-03,1970,1970,4,177,2:57,5,1
I Want You Back,The Jackson 5,1970-01-31,1970,1970,1,180,3:00,30,0
Venus,Shocking Blue,1970-02-07,1970,1970,1,187,3:07,18,0
Thank You (Falettinme Be Mice Elf Agin),Sly & the Family Stone,1970-02-14,1970,1970,2,288,4:48,18,0
Bridge Over Troubled Water,Simon & Garfunkel,1970-02-28,1970,1970,6,293,4:53,23,0
Let it Be,The Beatles,1970-04-11,1970,1970,2,230,3:50,13,0
ABC,The Jackson 5,1970-04-25,1970,1970,2,175,2:55,1,1
American Woman,The Guess Who,1970-05-09,1970,1970,3,231,3:51,22,0
Everything is Beautiful,Ray Stevens,1970-05-30,1970,1970,2,209,3:29,20,0
The Long and Winding Road,The Beatles,1970-06-13,1970,1970,2,220,3:40,0,0
The Love You Save,The Jackson 5,1970-06-27,1970,1970,2,180,3:00,18,0
Mama Told Me (Not to Come),Three Dog Night,1970-07-11,1970,1970,2,199,3:19,10,0
(They Long to Be) Close to You,The Carpenters,1970-07-25,1970,1970,4,220,3:40,9,0
Make it With You,Bread,1970-08-22,1970,1970,1,192,3:12,13,0
War,Edwin Starr,1970-08-29,1970,1970,3,200,3:20,4,0
Ain't No Mountain High Enough,Diana Ross,1970-09-19,1970,1970,3,205,3:25,36,0
Cracklin' Rosie,Neil Diamond,1970-10-10,1970,1970,1,180,3:00,8,0
I'll Be There,The Jackson 5,1970-10-17,1970,1970,5,238,3:58,12,0
I Think I Love You,The Partridge Family,1970-11-21,1970,1970,3,173,2:53,9,1
The Tears of a Clown,Smokey Robinson & the Miracles,1970-12-12,1970,1970,2,182,3:02,13,0
My Sweet Lord,George Harrison,1970-12-26,1970,1970,4,281,4:41,31,0
Knock Three Times,Tony Orlando & Dawn,1971-01-23,1971,1970,3,180,3:00,8,0
One Bad Apple,The Osmonds,1971-02-13,1971,1970,5,165,2:45,10,1
Me and Bobby McGee,Janis Joplin,1971-03-20,1971,1970,2,271,4:31,5,0
Just My Imagination (Running Away with Me),The Temptations,1971-04-03,1971,1970,2,228,3:48,24,0
Joy to the World,Three Dog Night,1971-04-17,1971,1970,6,197,3:17,5,0
Brown Sugar,The Rolling Stones,1971-05-29,1971,1970,2,230,3:50,30,0
Want Ads,Honey Cone,1971-06-12,1971,1970,1,166,2:46,2,1
It's Too Late,Carole King,1971-06-19,1971,1970,5,231,3:51,9,0
Indian Reservation (The Lament of the Cherokee Reservation Indian),The Raiders,1971-07-24,1971,1970,1,172,2:52,8,1
You've Got a Friend,James Taylor,1971-07-31,1971,1970,1,268,4:28,8,0
How Can You Mend a Broken Heart,Bee Gees,1971-08-07,1971,1970,4,239,3:59,14,0
Uncle Albert/Admiral Halsey,Paul McCartney & Linda McCartney,1971-09-04,1971,1970,1,295,4:55,0,0
Go Away Little Girl,Donny Osmond,1971-09-11,1971,1970,3,149,2:29,8,1
Maggie May,Rod Stewart,1971-10-02,1971,1970,5,222,3:42,7,0
"Gypsys, Tramps and Thieves",Cher,1971-11-06,1971,1970,2,158,2:38,8,1
Theme from Shaft,Isaac Hayes,1971-11-20,1971,1970,2,197,3:17,109,0
Family Affair,Sly & the Family Stone,1971-12-04,1971,1970,3,185,3:05,4,0
Brand New Key,Melanie,1971-12-25,1971,1970,3,144,2:24,6,1
American Pie,Don McLean,1972-01-15,1972,1970,4,515,8:35,0,0
Let's Stay Together,Al Green,1972-02-12,1972,1970,1,199,3:19,9,0
Without You,Harry Nilsson,1972-02-19,1972,1970,4,201,3:21,6,0
Heart of Gold,Neil Young,1972-03-18,1972,1970,1,187,3:07,34,0
A Horse with No Name,America,1972-03-25,1972,1970,3,272,4:32,9,0
The First Time Ever I Saw Your Face,Roberta Flack,1972-04-15,1972,1970,6,255,4:15,20,0
Oh Girl,The Chi-Lites,1972-05-27,1972,1970,1,216,3:36,13,0
I'll Take You There,The Staple Singers,1972-06-03,1972,1970,1,196,3:16,11,0
The Candy Man,Sammy Davis Jr.,1972-06-10,1972,1970,3,192,3:12,24,0
Song Sung Blue,Neil Diamond,1972-07-01,1972,1970,1,194,3:14,18,0
Lean on Me,Bill Withers,1972-07-08,1972,1970,3,258,4:18,27,0
Alone Again (Naturally),Gilbert O'Sullivan,1972-07-29,1972,1970,6,217,3:37,11,0
Brandy (You're a Fine Girl),Looking Glass,1972-08-26,1972,1970,1,186,3:06,15,0
Black and White,Three Dog Night,1972-09-16,1972,1970,1,206,3:26,12,0
"Baby, Don't Get Hooked on Me",Mac Davis,1972-09-23,1972,1970,3,183,3:03,13,0
Ben,Michael Jackson,1972-10-14,1972,1970,1,167,2:47,13,1
My Ding-a-Ling,Chuck Berry,1972-10-21,1972,1970,2,256,4:16,8,0
I Can See Clearly Now,Johnny Nash,1972-11-04,1972,1970,4,164,2:44,6,1
Papa Was a Rollin' Stone,The Temptations,1972-12-02,1972,1970,1,419,6:59,115,0
I Am Woman,Helen Reddy,1972-12-09,1972,1970,1,205,3:25,10,0
Me and Mrs. Jones,Billy Paul,1972-12-16,1972,1970,3,284,4:44,26,0
You're So Vain,Carly Simon,1973-01-06,1973,1970,3,258,4:18,17,0
Superstition,Stevie Wonder,1973-01-27,1973,1970,1,245,4:05,28,0
Crocodile Rock,Elton John,1973-02-03,1973,1970,3,235,3:55,14,0
Killing Me Softly with His Song,Roberta Flack,1973-02-24,1973,1970,5,286,4:46,0,0
Love Train,The O'Jays,1973-03-24,1973,1970,1,178,2:58,8,1
The Night the Lights Went Out in Georgia,Vicki Lawrence,1973-04-07,1973,1970,2,220,3:40,12,0
Tie a Yellow Ribbon 'Round the Ole Oak Tree,Tony Orlando & Dawn,1973-04-21,1973,1970,4,206,3:26,11,0
You are the Sunshine of My Life,Stevie Wonder,1973-05-19,1973,1970,1,172,2:52,15,1
Frankenstein,The Edgar Winter Group,1973-05-26,1973,1970,1,206,3:26,0,0
My Love,Paul McCartney & Wings,1973-06-02,1973,1970,4,247,4:07,7,0
Give Me Love (Give Me Peace on Earth),George Harrison,1973-06-30,1973,1970,1,215,3:35,19,0
Will it Go Round in Circles,Billy Preston,1973-07-07,1973,1970,2,224,3:44,4,0
"Bad, Bad Leroy Brown",Jim Croce,1973-07-21,1973,1970,2,181,3:01,12,0
The Morning After,Maureen McGovern,1973-08-04,1973,1970,2,141,2:21,6,1
Touch Me in the Morning,Diana Ross,1973-08-18,1973,1970,1,207,3:27,1,0
Brother Louie,Stories,1973-08-25,1973,1970,2,235,3:55,18,0
Let's Get it On,Marvin Gaye,1973-09-08,1973,1970,2,240,4:00,3,0
Delta Dawn,Helen Reddy,1973-09-15,1973,1970,1,190,3:10,24,0
We're an American Band,Grand Funk,1973-09-29,1973,1970,1,307,5:07,30,0
Half-Breed,Cher,1973-10-06,1973,1970,2,167,2:47,14,1
Angie,The Rolling Stones,1973-10-20,1973,1970,1,272,4:32,18,0
Midnight Train to Georgia,Gladys Knight & the Pips,1973-10-27,1973,1970,2,237,3:57,14,0
Keep on Truckin',Eddie Kendricks,1973-11-10,1973,1970,2,212,3:32,4,0
Photograph,Ringo Starr,1973-11-24,1973,1970,1,239,3:59,14,0
Top of the World,The Carpenters,1973-12-01,1973,1970,2,179,2:59,16,1
The Most Beautiful Girl,Charlie Rich,1973-12-15,1973,1970,2,162,2:42,9,1
Time in a Bottle,Jim Croce,1973-12-29,1973,1970,2,147,2:27,10,1
The Joker,Steve Miller Band,1974-01-12,1974,1970,1,217,3:37,2,0
Show and Tell,Al Wilson,1974-01-19,1974,1970,1,207,3:27,23,0
You're Sixteen,Ringo Starr,1974-01-26,1974,1970,1,169,2:49,7,1
The Way We Were,Barbra Streisand,1974-02-02,1974,1970,3,211,3:31,34,0
Love's Theme,Love Unlimited Orchestra,1974-02-09,1974,1970,1,219,3:39,25,0
Seasons in the Sun,Terry Jacks,1974-03-02,1974,1970,3,186,3:06,6,0
Dark Lady,Cher,1974-03-23,1974,1970,1,209,3:29,19,0
Sunshine on My Shoulders,John Denver,1974-03-30,1974,1970,1,208,3:28,7,0
Hooked on a Feeling,Blue Swede,1974-04-06,1974,1970,1,173,2:53,9,1
Bennie and the Jets,Elton John,1974-04-13,1974,1970,1,323,5:23,27,0
TSOP (The Sound of Philadelphia),MFSB,1974-04-20,1974,1970,2,212,3:32,35,0
The Loco-motion,Grand Funk,1974-05-04,1974,1970,2,167,2:47,3,1
